viral,interactions_count,perm_3_days,perm_4_days,network_score,pvalue,adjusted_pvalue
e,6,130.6,133.3,0.005882063906131832,0.09900990099009901,0.1782178217821782
m,30,136.2,135.7,0.030008470704917946,0.0297029702970297,0.11881188118811882
n,15,148.6,136.8,0.025154657481496857,0.009900990099009901,0.11881188118811882
spike,2,151.1,142.7,0.0012650373335456205,0.39603960396039606,0.39603960396039606
nsp1,6,133.1,127.3,0.0053022658584029525,0.13861386138613863,0.21104742053152684
nsp10,5,134.7,124.1,0.007063347265963991,0.039603960396039604,0.11881188118811882
nsp11,1,134.2,135.3,0.0009312379903134642,0.19801980198019803,0.2545968882602546
nsp12,20,126.6,117.2,0.016098221008257276,0.0891089108910891,0.1782178217821782
nsp13,40,118.2,114.2,0.04901401346357983,0.0594059405940594,0.14581458145814583
nsp14,3,135.4,116.6,0.0024340087451437927,0.22772277227722773,0.2561881188118812
nsp15,3,130.2,121.5,0.003746442035946947,0.039603960396039604,0.11881188118811882
nsp2,7,109.0,116.3,0.0071180519592248135,0.09900990099009901,0.1782178217821782
nsp4,8,140.2,136.9,0.006021930073747593,0.27722772277227725,0.29940594059405945
nsp5,1,127.6,121.9,0.0028063760644325706,0.0297029702970297,0.11881188118811882
nsp5_c145a,2,122.7,114.5,0.0015215941057391024,0.21782178217821782,0.2561881188118812
nsp6,4,139.4,132.9,0.002828279277804416,0.37623762376237624,0.39070830159939074
nsp7,32,111.9,104.6,0.03475369036332005,0.0297029702970297,0.11881188118811882
nsp8,24,133.65,129.3,0.024323570105045666,0.019801980198019802,0.11881188118811882
nsp9,16,128.7,124.1,0.013932984539001492,0.0594059405940594,0.14581458145814583
orf10,9,141.6,136.9,0.011886871321662612,0.0297029702970297,0.11881188118811882
orf3a,8,142.0,133.6,0.006263299967067476,0.22772277227722773,0.2561881188118812
orf3b,1,131.0,124.9,0.0011652815115417345,0.1485148514851485,0.21104742053152684
orf6,3,128.4,127.1,0.004769759764490323,0.039603960396039604,0.11881188118811882
orf7a,2,115.0,125.6,0.0016448577742615563,0.19801980198019803,0.2545968882602546
orf8,47,139.7,136.6,0.03396083854169044,0.1485148514851485,0.21104742053152684
orf9b,11,140.6,134.8,0.011480167174045154,0.06930693069306931,0.15594059405940597
orf9c,26,143.9,128.8,0.020832853296233363,0.13861386138613863,0.21104742053152684
