viral,Preys,HPAEC,HUVEC,HUAEC,HGSVEC,HCCaEC,HAoEC,HCAEC,HENDC,HRAEC
e,6,0.0046241606540401185,0.005882063906131831,0.005056004738981701,0.0032493483208619195,0.004529204585274663,0.00412116620113212,0.004987247943772807,0.0034580077368042334,0.003047645979722435
m,30,0.02411199284223361,0.03000847070491795,0.02610971936705361,0.016722080597337624,0.023725930858670464,0.021193816840318694,0.025379967751104505,0.017331976238225976,0.015417494400137467
n,15,0.019894938474268264,0.025154657481496857,0.022040136850697566,0.014070357697539355,0.018748037902567998,0.016753825441431964,0.021461868772692697,0.01399884712235085,0.01267662512865631
spike,2,0.0010328607360504626,0.0012650373335456207,0.0011126041208797104,0.0008094333751823671,0.0009734706519673081,0.0008747310587665632,0.0010830423851325743,0.0007529063873978228,0.0006877039093044132
nsp1,6,0.004095845268992804,0.0053022658584029525,0.004601787932829858,0.002905969693387671,0.004212388271671899,0.0037359933839426745,0.0045325065735529945,0.0030237912447839987,0.0027675113999225663
nsp10,5,0.004984799726068806,0.00706334726596399,0.005379496194843143,0.003552539724572124,0.005352949329031336,0.004065997889387897,0.006153513115895137,0.003443154536636243,0.003909518414680311
nsp11,1,0.000727732219266453,0.0009312379903134642,0.0008141153279207055,0.0005115642776048303,0.0007232068016831271,0.0006507306732223288,0.0007868248657440228,0.0005213566067599571,0.00047010664499432154
nsp12,20,0.01260272467764494,0.016098221008257276,0.014014738586217728,0.008924858588876969,0.012484541992091756,0.011184143717506123,0.013709462727151017,0.00919491720801351,0.008284071691407593
nsp13,40,0.037364660791662146,0.04901401346357984,0.043401690428826835,0.02969387759849033,0.03879649704414926,0.035486646981097617,0.04251534173924768,0.02601115677121729,0.02350028455272163
nsp14,3,0.0019415678359539518,0.002434008745143793,0.002129603339837795,0.0012424819405688803,0.0019089920719367283,0.0017130023228413035,0.0020731620779171405,0.0014756357730567491,0.0013447650183966906
nsp15,3,0.002937201045551339,0.0037464420359469464,0.0032321118532264393,0.0020735157117602963,0.002875787882879705,0.002537414616619777,0.0031593997868911046,0.0021531747332884797,0.0019541639090194705
nsp2,7,0.0054408303803868425,0.007118051959224811,0.006067430458352381,0.004037698757778769,0.005636124410020372,0.0049423012373604105,0.005985725401273845,0.0039492933043791915,0.00344521106332813
nsp4,8,0.004790818516038482,0.006021930073747594,0.005245601872014679,0.0030231907400502414,0.004721158002939092,0.00419809747743169,0.005031500144285768,0.0036407624553115104,0.003266580361470632
nsp5,1,0.0021878544667186515,0.0028063760644325706,0.0024556472099299662,0.0014649946244689055,0.002232925708360906,0.0020001561464986725,0.0024112408758466004,0.0016660076095516233,0.0015286662413420895
nsp5_c145a,2,0.0011766230211650026,0.0015215941057391024,0.0013020645200353246,0.0008281922240927971,0.0011629535746742869,0.001011350867361591,0.0012699924851866894,0.0008387689008673437,0.0007638941806695221
nsp6,4,0.002252160109668154,0.002828279277804416,0.002424524821124194,0.0016166700284363982,0.00217167924061939,0.0019214461599606249,0.002367042382115209,0.0016601381308330105,0.0014695343376724692
nsp7,32,0.026454146047631025,0.03475369036332005,0.02868773322332513,0.01876401728951767,0.027239071212411724,0.02275860582160367,0.029344313581251193,0.019502687030779255,0.018844911086334827
nsp8,24,0.018476575461580224,0.02432357010504566,0.021250705078153305,0.013397692001109502,0.018918089457290163,0.01694291669075686,0.02055841295964429,0.013574105398366012,0.012195624731435041
nsp9,16,0.011016699905758705,0.013932984539001492,0.012085675841651416,0.00786541517866746,0.010969291048328373,0.00981691353751678,0.011819077059390585,0.008095802528688292,0.007200717038188363
orf10,9,0.009560090905550836,0.011886871321662612,0.01042834649147557,0.00664106454739494,0.009070807801332653,0.00811509702531652,0.010189253067434987,0.0069845657507855465,0.00640144313193244
orf3a,8,0.005098846845259415,0.006263299967067476,0.0054699867061764424,0.003900698387087603,0.005033327656544527,0.0045312996109387,0.005400413486268778,0.0033604040949625916,0.0030248499958606912
orf3b,1,0.0009176313409271712,0.0011652815115417345,0.0010058556201233606,0.000638449933302177,0.0008854314074444135,0.0007923216190515273,0.0009708578710529778,0.0006709882845866397,0.0005938942513575387
orf6,3,0.003572386267184902,0.004769759764490323,0.00430455031525613,0.0028578286159190976,0.003997759980061649,0.003719646023428432,0.004241260177946598,0.0024193628302541133,0.002201636787585803
orf7a,2,0.0013188962190919778,0.0016448577742615563,0.0014278130768117013,0.0009340993440235301,0.0012657206407499552,0.001122216528513745,0.0013893662569153024,0.0009616837247483394,0.0008569313728906706
orf8,47,0.02697429933721137,0.03396083854169044,0.02926213234868787,0.019186879181341224,0.02647161356778448,0.02332965053904109,0.02814080176579317,0.018884071969124266,0.016586056147397693
orf9b,11,0.00808200117807599,0.011480167174045154,0.009983026242188699,0.0056139653026046985,0.007974082304041447,0.006983598041443224,0.008656812799439785,0.0059424762129320205,0.005272913519025298
orf9c,26,0.017420585716532704,0.02083285329623336,0.018339350662720647,0.01350403347240298,0.017125673378877136,0.01541330759833423,0.018061261573347063,0.0136840417744629,0.012561952050033546
