viral,Preys,enterocytes,proximal,cardiomyocytes,bronchial,lung,lymphocytes,neuronal,random
e,6,0.7864791203521644,0.0,1.5240780634829436,1.2139231351791042,1.9070703157390487,0.020000666706669543,2.217225244042889,0.020000666706669543
m,30,0.4104278974502933,0.11531084651099435,0.245672664374238,1.6706815376748192,4.61512051684126,3.228826155721369,1.3192836508369303,0.0
n,15,0.0,0.0,0.0,0.4719857904497268,1.3962446919730591,0.0,1.2478246868547855,1.9760631872260008
spike,2,2.217225244042889,4.61512051684126,1.2478246868547855,2.6692103677859462,3.5165082281731497,1.6706815376748192,1.842531794601478,0.0
nsp1,6,0.0,0.0,1.357023978819777,1.5705980791178364,1.4796263009121098,2.6692103677859462,2.6692103677859462,0.0
nsp10,5,2.41789593950504,0.3110554236370897,1.5705980791178364,1.1811333123561132,2.1302138670532598,2.1302138670532598,2.41789593950504,0.0
nsp11,1,1.5240780634829436,0.8309308829229983,1.6706815376748192,2.41789593950504,3.5165082281731497,3.0056826044071583,3.9219733362813134,0.0
nsp12,20,0.0,0.0,0.0,3.9219733362813134,0.7233002187306329,0.14921239818667575,3.228826155721369,0.9775343571148737
nsp13,40,0.0,0.0,4.61512051684126,2.8233610476132043,0.17246926035094304,0.0,4.61512051684126,0.0
nsp14,3,0.0,3.9219733362813134,0.4562374334815876,1.842531794601478,3.5165082281731497,1.149384614041533,3.0056826044071583,0.0
nsp15,3,0.3110554236370897,0.3524406397999441,0.9515588707116128,3.5165082281731497,4.61512051684126,1.4796263009121098,2.6692103677859462,0.0
nsp2,7,0.0,0.0,0.381014012244,1.842531794601478,0.8539204011476971,0.14921239818667575,2.1302138670532598,0.0
nsp4,8,1.7819071727850433,0.9775343571148736,0.1264841471091196,1.437066686493314,4.61512051684126,4.61512051684126,3.5165082281731497,0.0
nsp5,1,0.0,0.0,0.28438717655492834,1.149384614041533,2.8233610476132043,0.03015303817068756,2.312535423847214,0.0
nsp5_c145a,2,0.0,0.009950330853168092,0.9515588707116128,2.312535423847214,1.7819071727850433,0.8084580270709397,3.5165082281731497,0.381014012244
nsp6,4,0.05077232537342327,2.312535423847214,1.0042026041970349,1.9760631872260008,2.5356789751614235,0.626136470276985,3.9219733362813134,0.0
nsp7,32,0.22067136216882066,3.0056826044071583,3.0056826044071583,1.6193882432872684,4.61512051684126,1.7819071727850433,2.5356789751614235,0.0
nsp8,24,0.0,0.0,0.0,0.03015303817068756,0.3110554236370897,0.0,1.437066686493314,0.0
nsp9,16,0.0,0.8084580270709397,0.040409538337876666,1.2829160066660554,2.41789593950504,0.297632403304949,2.217225244042889,0.0
orf10,9,0.0,0.0,1.0887599922250981,1.2478246868547855,2.5356789751614235,0.28438717655492834,2.41789593950504,0.8539204011476971
orf3a,8,0.0,3.0056826044071583,0.5207759546191588,1.4796263009121098,0.3384543978252042,1.3962446919730591,3.9219733362813134,0.0
orf3b,1,0.0,1.9760631872260008,1.6706815376748192,1.7247487589450947,2.41789593950504,0.9515588707116128,3.0056826044071583,0.0
orf6,3,0.0,0.5546775062948401,1.4796263009121098,1.2478246868547855,3.5165082281731497,0.3384543978252042,3.0056826044071583,0.0
orf7a,2,0.0,0.05077232537342327,0.009950330853168092,1.7819071727850433,1.2829160066660554,1.0316015783851495,3.228826155721369,0.0
orf8,47,0.0,1.5240780634829436,0.0,4.61512051684126,3.228826155721369,3.9219733362813134,1.9760631872260008,0.0
orf9b,11,1.357023978819777,1.5705980791178364,2.217225244042889,2.5356789751614235,4.61512051684126,0.3384543978252042,2.217225244042889,0.0
orf9c,26,0.626136470276985,1.9070703157390487,0.0,2.8233610476132043,0.5546775062948401,2.5356789751614235,1.9760631872260008,0.0
